epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
100,36844.7,0.43685,0.31604,0.01164,0.77703,0.80124,0.81294,0.61331,0.86058,1.2891,0.02261,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
101,37183.4,0.44367,0.31782,0.0118,0.84241,0.77916,0.83394,0.62325,0.86315,1.23822,0.02271,0.0025125,0.0008375,0.0025125,0.0008375,0.0025125,0.0008375,0.0025125,0.0008375
102,37524.1,0.44626,0.3171,0.01185,0.84247,0.81564,0.8478,0.64585,0.83817,1.19414,0.02156,0.00250012,0.000833375,0.00250012,0.000833375,0.00250012,0.000833375,0.00250012,0.000833375
103,37868,0.43919,0.32834,0.01162,0.83074,0.81455,0.83142,0.63045,0.85017,1.16245,0.02208,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
104,38204.1,0.4269,0.32538,0.01135,0.87819,0.76992,0.84132,0.6379,0.87721,1.11387,0.02303,0.00247538,0.000825125,0.00247538,0.000825125,0.00247538,0.000825125,0.00247538,0.000825125
105,38547,0.43078,0.32646,0.01161,0.8215,0.77892,0.8145,0.61813,0.85322,1.2038,0.02224,0.002463,0.000821,0.002463,0.000821,0.002463,0.000821,0.002463,0.000821
106,38919.2,0.4169,0.31374,0.01111,0.86818,0.79592,0.86195,0.63816,0.89573,1.13819,0.02351,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
107,39280.5,0.42534,0.31341,0.01131,0.85189,0.83705,0.8608,0.65657,0.86911,1.26981,0.02278,0.00243825,0.00081275,0.00243825,0.00081275,0.00243825,0.00081275,0.00243825,0.00081275
108,39639.5,0.41846,0.31758,0.01093,0.85131,0.79108,0.85477,0.65073,0.85374,1.10652,0.02207,0.00242588,0.000808625,0.00242588,0.000808625,0.00242588,0.000808625,0.00242588,0.000808625
109,40002.6,0.41713,0.3198,0.01099,0.82453,0.76344,0.83514,0.62422,0.8697,1.21356,0.02282,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
110,40369.5,0.42326,0.30978,0.01125,0.82803,0.81314,0.84247,0.62707,0.86518,1.21521,0.02268,0.00240113,0.000800375,0.00240113,0.000800375,0.00240113,0.000800375,0.00240113,0.000800375
111,40733.1,0.42611,0.32115,0.01129,0.77878,0.80534,0.82049,0.60583,0.87319,1.22807,0.02297,0.00238875,0.00079625,0.00238875,0.00079625,0.00238875,0.00079625,0.00238875,0.00079625
112,41101.7,0.40503,0.3144,0.01081,0.84644,0.83021,0.84875,0.63989,0.85655,1.19292,0.02245,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
113,41466.5,0.41395,0.30435,0.011,0.86854,0.77864,0.85043,0.63803,0.87716,1.11361,0.02309,0.002364,0.000788,0.002364,0.000788,0.002364,0.000788,0.002364,0.000788
114,41830.9,0.42226,0.31834,0.01118,0.84813,0.80811,0.843,0.62939,0.86272,1.04153,0.02255,0.00235162,0.000783875,0.00235162,0.000783875,0.00235162,0.000783875,0.00235162,0.000783875
115,42202.5,0.40767,0.30929,0.01059,0.82657,0.77232,0.82362,0.62307,0.84602,1.14776,0.02223,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
116,42563.2,0.40654,0.30694,0.01077,0.82867,0.80469,0.84951,0.63728,0.86171,1.03076,0.02277,0.00232687,0.000775625,0.00232687,0.000775625,0.00232687,0.000775625,0.00232687,0.000775625
117,42932.3,0.40228,0.29437,0.01071,0.8343,0.78281,0.80766,0.60155,0.86389,1.21137,0.02279,0.0023145,0.0007715,0.0023145,0.0007715,0.0023145,0.0007715,0.0023145,0.0007715
118,43297.3,0.40695,0.29863,0.0107,0.84561,0.80382,0.85585,0.62808,0.85305,1.03695,0.02249,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
119,43667.9,0.40162,0.30049,0.01066,0.82464,0.81947,0.82672,0.62421,0.86944,1.0783,0.02262,0.00228975,0.00076325,0.00228975,0.00076325,0.00228975,0.00076325,0.00228975,0.00076325
120,44033,0.41793,0.30199,0.01103,0.86015,0.82187,0.84805,0.63122,0.85885,1.07336,0.02253,0.00227737,0.000759125,0.00227737,0.000759125,0.00227737,0.000759125,0.00227737,0.000759125
121,44399.8,0.39349,0.30125,0.01042,0.82433,0.81881,0.84246,0.6419,0.83894,1.13221,0.02189,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
122,44760.3,0.39815,0.29789,0.01045,0.86814,0.77827,0.82092,0.61573,0.84691,1.29636,0.02225,0.00225262,0.000750875,0.00225262,0.000750875,0.00225262,0.000750875,0.00225262,0.000750875
123,45128.5,0.40127,0.29959,0.01041,0.81757,0.82204,0.84834,0.62916,0.88023,1.18389,0.02325,0.00224025,0.00074675,0.00224025,0.00074675,0.00224025,0.00074675,0.00224025,0.00074675
124,45498.1,0.39104,0.29559,0.01027,0.82264,0.81229,0.84226,0.62989,0.8542,1.35265,0.02233,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
125,45861.1,0.3977,0.28629,0.01053,0.83408,0.78774,0.83229,0.63485,0.8538,1.3803,0.0224,0.0022155,0.0007385,0.0022155,0.0007385,0.0022155,0.0007385,0.0022155,0.0007385
126,46222.1,0.3938,0.28721,0.01039,0.87571,0.76652,0.83852,0.6393,0.86673,1.24876,0.02276,0.00220312,0.000734375,0.00220312,0.000734375,0.00220312,0.000734375,0.00220312,0.000734375
127,46591,0.40475,0.29428,0.01081,0.84485,0.76601,0.83941,0.6317,0.859,1.1347,0.02266,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
