epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
120,45400.4,0.6936,0.39936,0.01922,0.97744,0.98462,0.99327,0.78977,0.79547,0.31439,0.02099,0.0012146,0.0012146,0.0012146
121,45787.5,0.68115,0.39523,0.01895,0.98026,0.97692,0.99311,0.77508,0.80201,0.33147,0.02117,0.001208,0.001208,0.001208
122,46176,0.66771,0.39722,0.01866,0.97961,0.98556,0.99389,0.7806,0.79365,0.32311,0.02104,0.0012014,0.0012014,0.0012014
123,46564,0.68924,0.39924,0.01907,0.98454,0.97989,0.99325,0.80007,0.82732,0.33383,0.02153,0.0011948,0.0011948,0.0011948
124,46951.6,0.67512,0.38523,0.01848,0.97705,0.98265,0.99285,0.78912,0.76492,0.32483,0.02053,0.0011882,0.0011882,0.0011882
125,47339.3,0.65892,0.38994,0.01808,0.99963,0.97179,0.99448,0.78732,0.76927,0.33869,0.02026,0.0011816,0.0011816,0.0011816
126,47728.1,0.65719,0.38363,0.01817,0.98183,0.96983,0.9933,0.77629,0.82169,0.34348,0.02149,0.001175,0.001175,0.001175
127,48116.1,0.67628,0.38866,0.01884,0.98962,0.97737,0.99349,0.77728,0.82865,0.36911,0.02197,0.0011684,0.0011684,0.0011684
128,48504,0.676,0.39002,0.01866,0.97185,0.97388,0.99189,0.78709,0.79675,0.34466,0.0208,0.0011618,0.0011618,0.0011618
129,48892.5,0.64487,0.37763,0.01789,0.98862,0.97179,0.99343,0.79191,0.80123,0.32499,0.02138,0.0011552,0.0011552,0.0011552
130,49280.4,0.6579,0.37839,0.01798,0.99085,0.97436,0.99417,0.79208,0.80592,0.32927,0.02159,0.0011486,0.0011486,0.0011486
131,49668.2,0.65331,0.38023,0.01792,0.97122,0.99231,0.99395,0.79163,0.80198,0.34203,0.02097,0.001142,0.001142,0.001142
132,50055.9,0.63941,0.36654,0.01783,0.99099,0.97949,0.99374,0.77972,0.81143,0.32426,0.02178,0.0011354,0.0011354,0.0011354
133,50444.7,0.65841,0.36893,0.01832,0.98201,0.97979,0.99428,0.79194,0.8124,0.30283,0.02147,0.0011288,0.0011288,0.0011288
134,50831.7,0.63496,0.36217,0.01749,0.9775,0.97949,0.99292,0.78685,0.77762,0.30202,0.02078,0.0011222,0.0011222,0.0011222
135,51219.1,0.64073,0.35494,0.01768,0.97911,0.96165,0.99124,0.78761,0.79144,0.33656,0.02113,0.0011156,0.0011156,0.0011156
136,51606.5,0.63852,0.35504,0.01757,0.97932,0.97159,0.9928,0.79018,0.82067,0.34382,0.02139,0.001109,0.001109,0.001109
137,51993.7,0.64989,0.36821,0.01792,0.97218,0.97179,0.99076,0.78008,0.81305,0.35306,0.02133,0.0011024,0.0011024,0.0011024
138,52382.3,0.63622,0.36121,0.01762,0.98433,0.97692,0.99215,0.78065,0.80132,0.45145,0.02101,0.0010958,0.0010958,0.0010958
139,52769.1,0.64179,0.36002,0.01759,0.97402,0.96148,0.9902,0.7836,0.80396,0.33963,0.02126,0.0010892,0.0010892,0.0010892
140,53155.9,0.63342,0.35232,0.01741,0.9819,0.97354,0.99229,0.77416,0.84477,0.36302,0.02236,0.0010826,0.0010826,0.0010826
